tilt,cor,gradient,contrast,focus,total_variation,kurtosis,projection_consistency
36.5,-1.5,0.0001470330529887828,0.0011395634849655576,4.5907525755442944e-07,-6.921118872506278,-0.6618900335515212,-0.058100104
36.5,-1.0,0.00014703921676430452,0.001126829958437676,4.609096840064402e-07,-6.978474378585815,-0.7082587489813769,-0.047711443
36.5,-0.5,0.00014119427890234095,0.0011214476909455178,4.683775490629419e-07,-6.886305979319981,-0.7226591381455915,-0.03653548
36.5,0.0,0.0001365273975742249,0.001125104903476313,4.250530604313748e-07,-6.606970242091587,-0.6808826910527476,-0.024460891
36.5,0.5,0.0001466020398116338,0.0011860997976535666,3.919135066001088e-07,-6.620249714170184,-0.6401763145944741,-0.01210627
36.5,1.0,0.0001555590216802167,0.0012673864599284052,5.768786550675031e-07,-7.069230965205601,-0.5506335115902715,-0.0027996101
36.5,1.5,0.00014612545887108093,0.001222166189774206,3.81462442078373e-07,-6.567497491836548,-0.4726493582421997,-0.0032635713
36.5,2.0,0.00013948502393239842,0.0012130834582161957,4.510727415712219e-07,-6.735362257276263,-0.3839575147516595,-0.006209174
37.0,-2.0,0.00014815754756065353,0.0011510003753106245,4.6271862532064135e-07,-7.010734013148716,-0.5881820930546425,-0.065790325
37.0,-1.5,0.00014552328658672714,0.001132960941925246,4.477906401234577e-07,-6.875215121677944,-0.6257854469413805,-0.05722084
37.0,-1.0,0.00014617367820132392,0.001124427629152446,4.5255909242314374e-07,-6.9554644993373325,-0.7139005690510645,-0.047063198
37.0,-0.5,0.0001409454681769213,0.0011187850063600177,4.588892902493821e-07,-6.857989038739886,-0.6790953512098884,-0.036304347
37.0,0.0,0.0001368047929385544,0.0011204443657438139,4.192168207493653e-07,-6.600458758217948,-0.716819485150652,-0.024917725
37.0,0.5,0.00014572064745672314,0.0011831524513295985,3.969752455645903e-07,-6.627662352153233,-0.6335295342175064,-0.013691992
37.0,1.0,0.00015414352310472168,0.001260044643755204,5.522465694899179e-07,-7.005606174468994,-0.5648936475731393,-0.0051467284
37.0,1.5,0.00014696309569574493,0.0012252497540820126,3.91561261129222e-07,-6.621110132762364,-0.5256026099912839,-0.004673798
37.0,2.0,0.00014109710640955849,0.0012163486362468186,4.4383480712895107e-07,-6.7503500665937155,-0.40899371390198114,-0.0064010746
